X,CH1,
Second,Volt,
-1.1206564e+00,0.00000e+00,
-1.1205099e+00,1.60000e-01,
-1.1203634e+00,-1.60000e-01,
-1.1202168e+00,0.00000e+00,
-1.1200703e+00,0.00000e+00,
-1.1199239e+00,0.00000e+00,
-1.1197774e+00,0.00000e+00,
-1.1196309e+00,0.00000e+00,
-1.1194844e+00,8.00000e-02,
-1.1193379e+00,-8.00000e-02,
-1.1191915e+00,0.00000e+00,
-1.1190450e+00,-8.00000e-02,
-1.1188985e+00,-1.60000e-01,
-1.1187520e+00,-8.00000e-02,
-1.1186055e+00,-1.60000e-01,
-1.1184591e+00,-1.60000e-01,
-1.1183126e+00,0.00000e+00,
-1.1181661e+00,0.00000e+00,
-1.1180196e+00,-8.00000e-02,
-1.1178731e+00,0.00000e+00,
-1.1177267e+00,0.00000e+00,
-1.1175802e+00,-8.00000e-02,
-1.1174337e+00,-1.60000e-01,
-1.1172872e+00,-1.60000e-01,
-1.1171407e+00,1.60000e-01,
-1.1169943e+00,0.00000e+00,
-1.1168478e+00,-8.00000e-02,
-1.1167012e+00,0.00000e+00,
-1.1165547e+00,-1.60000e-01,
-1.1164082e+00,8.00000e-02,
-1.1162618e+00,-1.60000e-01,
-1.1161153e+00,0.00000e+00,
-1.1159688e+00,-1.60000e-01,
-1.1158223e+00,-8.00000e-02,
-1.1156758e+00,0.00000e+00,
-1.1155294e+00,8.00000e-02,
-1.1153829e+00,-8.00000e-02,
-1.1152364e+00,-1.60000e-01,
-1.1150899e+00,-1.60000e-01,
-1.1149434e+00,-8.00000e-02,
-1.1147970e+00,0.00000e+00,
-1.1146505e+00,-1.60000e-01,
-1.1145040e+00,0.00000e+00,
-1.1143575e+00,0.00000e+00,
-1.1142110e+00,8.00000e-02,
-1.1140646e+00,-8.00000e-02,
-1.1139181e+00,0.00000e+00,
-1.1137716e+00,0.00000e+00,
-1.1136250e+00,-8.00000e-02,
-1.1134785e+00,0.00000e+00,
-1.1133322e+00,1.60000e-01,
-1.1131856e+00,-1.60000e-01,
-1.1130391e+00,-8.00000e-02,
-1.1128926e+00,0.00000e+00,
-1.1127461e+00,0.00000e+00,
-1.1125997e+00,-1.60000e-01,
-1.1124532e+00,1.60000e-01,
-1.1123067e+00,0.00000e+00,
-1.1121602e+00,0.00000e+00,
-1.1120137e+00,2.40000e-01,
-1.1118673e+00,-2.40000e-01,
-1.1117208e+00,0.00000e+00,
-1.1115743e+00,-1.60000e-01,
-1.1114278e+00,-1.60000e-01,
-1.1112813e+00,-8.00000e-02,
-1.1111349e+00,-1.60000e-01,
-1.1109884e+00,0.00000e+00,
-1.1108419e+00,0.00000e+00,
-1.1106954e+00,-2.40000e-01,
-1.1105489e+00,-1.60000e-01,
-1.1104025e+00,-8.00000e-02,
-1.1102560e+00,8.00000e-02,
-1.1101094e+00,-2.40000e-01,
-1.1099629e+00,-1.60000e-01,
-1.1098164e+00,-2.40000e-01,
-1.1096700e+00,-2.40000e-01,
-1.1095235e+00,0.00000e+00,
-1.1093770e+00,-3.20000e-01,
-1.1092305e+00,-8.00000e-02,
-1.1090840e+00,8.00000e-02,
-1.1089376e+00,-1.60000e-01,
-1.1087911e+00,1.60000e-01,
-1.1086446e+00,-8.00000e-02,
-1.1084981e+00,-8.00000e-02,
-1.1083516e+00,-8.00000e-02,
-1.1082052e+00,8.00000e-02,
-1.1080587e+00,-1.60000e-01,
-1.1079122e+00,-8.00000e-02,
-1.1077657e+00,-8.00000e-02,
-1.1076192e+00,-8.00000e-02,
-1.1074728e+00,-8.00000e-02,
-1.1073263e+00,-1.60000e-01,
-1.1071798e+00,0.00000e+00,
-1.1070333e+00,-1.60000e-01,
-1.1068867e+00,0.00000e+00,
-1.1067404e+00,0.00000e+00,
-1.1065938e+00,-1.60000e-01,
-1.1064473e+00,0.00000e+00,
-1.1063008e+00,8.00000e-02,
-1.1061543e+00,-1.60000e-01,
